492,103,1
556,102,1
549,109,1
549,101,1
494,111,3
551,105,4
496,110,5
491,144,1
491,122,1
491,137,1
491,129,1
538,142,1
516,121,1
537,132,1
537,128,1
515,121,2
558,144,2
557,149,3
495,129,4
494,144,5
493,131,5
217,154,1
231,177,1
180,168,1
192,169,1
217,166,2
218,166,3
190,172,4
189,179,4
491,158,1
491,151,1
490,180,1
565,178,1
565,170,1
565,158,1
565,166,1
539,152,2
557,151,2
592,178,4
493,164,5
493,179,5
662,175,1
590,172,5
59,194,1
84,203,1
73,203,1
105,203,1
84,197,1
74,197,1
96,202,2
105,202,2
115,186,2
120,186,2
115,203,2
84,198,2
84,202,2
73,202,2
47,192,3
83,199,3
118,187,3
106,201,3
96,201,3
61,194,3
130,204,1
145,195,1
137,206,1
45,205,4
157,195,1
9,197,5
234,183,1
222,182,1
234,194,1
214,186,1
229,201,1
77,200,4
107,200,4
246,183,1
252,183,1
262,182,1
146,197,2
124,203,2
136,186,2
44,196,5
190,181,2
377,199,1
117,192,5
394,196,1
135,187,3
147,200,3
135,200,3
448,184,1
189,181,3
180,196,3
339,197,2
376,199,2
458,198,1
122,200,4
537,185,1
180,202,5
206,199,5
144,209,5
310,203,4
289,203,5
352,201,4
371,203,4
243,187,5
177,206,6
177,210,6
177,192,6
492,182,3
135,208,6
307,202,5
350,199,5
369,202,5
564,186,1
564,182,1
564,190,1
564,193,1
564,197,1
564,201,1
564,209,1
564,205,1
617,203,1
619,210,1
677,197,1
717,196,1
467,203,5
697,197,1
710,197,1
723,207,1
769,199,1
821,196,1
788,199,1
831,195,1
842,196,1
858,196,1
717,197,2
686,202,3
778,200,2
891,198,1
873,195,1
729,198,2
789,200,2
830,196,2
697,199,3
716,198,3
929,199,1
915,206,1
621,205,4
943,198,1
957,199,1
600,210,5
891,199,2
729,199,3
746,200,3
883,200,2
846,198,3
763,200,3
860,198,3
872,196,2
770,201,3
804,200,3
788,201,3
619,204,5
693,202,5
891,200,3
878,200,3
822,202,5
853,201,5
850,202,5
729,202,5
927,210,3
908,201,3
960,202,3
788,204,5
17,237,1
35,237,1
59,225,1
26,238,1
78,237,1
12,226,1
48,240,1
64,237,1
49,231,1
23,228,1
68,237,1
44,231,1
38,216,1
44,223,1
33,227,1
78,212,1
83,212,1
78,227,1
88,212,1
83,231,1
73,231,1
88,231,1
900,203,4
102,221,1
107,237,1
92,219,1
93,212,1
107,212,1
97,231,1
97,212,1
116,231,1
112,212,1
116,212,1
102,212,1
145,230,1
127,236,1
122,212,1
126,212,1
136,235,1
131,212,1
903,202,4
178,232,1
37,216,2
50,224,2
13,226,2
16,238,2
24,238,2
35,238,2
45,223,2
88,230,2
65,236,2
874,202,5
893,203,5
959,203,5
942,205,5
196,218,1
186,235,1
195,235,1
212,226,1
218,230,1
248,233,1
298,226,1
298,234,1
137,230,2
149,237,2
146,229,2
323,214,1
328,214,1
137,212,2
310,216,1
927,205,5
179,231,2
18,239,3
23,239,3
187,234,2
202,234,2
230,230,2
269,224,2
278,237,2
148,230,3
148,222,3
310,217,2
35,222,4
17,217,4
333,214,1
342,214,1
383,221,1
375,218,1
376,237,1
368,224,1
309,227,3
72,225,5
31,215,5
183,229,4
209,216,4
282,222,4
253,227,4
9,225,6
308,225,4
371,213,3
372,234,3
177,214,6
143,225,6
279,218,5
447,214,1
478,223,1
455,224,1
456,239,1
536,213,1
536,224,1
564,213,1
563,225,1
563,236,1
563,232,1
563,240,1
563,228,1
597,217,1
456,238,2
466,224,2
480,223,2
607,227,1
620,218,1
602,217,1
602,228,1
687,223,1
690,215,1
685,234,1
676,224,1
746,213,1
739,217,1
724,234,1
713,220,1
691,223,1
706,224,1
699,224,1
718,224,1
723,240,1
452,225,3
621,218,2
606,211,2
563,211,3
686,235,2
676,223,2
691,213,2
703,213,2
728,215,2
706,223,2
699,223,2
718,223,2
787,223,1
783,235,1
817,217,1
462,238,4
466,228,4
688,236,3
721,236,3
692,221,3
717,221,3
601,213,4
694,219,4
454,240,6
843,222,1
853,222,1
865,218,1
843,236,1
849,236,1
924,212,1
898,221,1
874,233,1
952,238,1
898,215,1
832,214,4
816,213,4
610,231,6
7,248,1
26,250,1
29,270,1
715,239,5
73,247,1
70,244,1
35,251,1
44,251,1
81,253,1
85,253,1
90,253,1
44,258,1
925,212,2
107,245,1
897,214,2
111,245,1
103,269,1
116,245,1
104,258,1
30,270,2
71,246,2
49,241,2
34,250,2
121,268,1
121,266,1
121,245,1
121,258,1
178,247,1
198,256,1
187,247,1
194,260,1
212,244,1
212,250,1
270,245,1
270,251,1
286,253,1
293,253,1
46,252,3
121,246,2
121,267,2
22,244,4
195,259,2
6,260,4
879,214,4
106,267,3
211,242,2
71,255,4
72,265,4
149,264,3
149,247,3
22,243,5
197,258,3
207,258,3
67,254,5
50,254,5
164,263,4
163,247,4
330,249,1
322,248,1
310,248,1
112,244,5
109,263,5
354,243,1
363,264,1
372,260,1
369,252,1
410,260,1
398,260,1
416,260,1
403,260,1
201,262,5
407,249,1
437,253,1
423,260,1
429,260,1
473,262,1
455,253,1
465,241,1
370,251,2
534,267,1
565,259,1
562,252,1
563,244,1
563,248,1
574,262,1
590,263,1
607,261,1
464,241,2
684,256,1
710,263,1
709,256,1
716,265,1
606,261,2
685,262,2
686,250,2
717,265,2
582,261,3
730,252,1
730,245,1
687,249,3
361,263,6
367,252,6
583,263,4
472,266,6
472,262,6
773,269,1
779,241,1
722,251,2
731,251,2
731,246,2
826,268,1
848,252,1
841,261,1
862,257,1
716,263,4
697,249,4
896,250,1
915,268,1
772,268,2
955,245,1
960,261,1
20,285,1
13,285,1
713,253,5
10,296,1
16,280,1
30,296,1
948,247,1
25,282,1
691,242,5
26,294,1
23,275,1
12,275,1
16,295,1
682,257,6
31,285,1
38,289,1
52,296,1
41,290,1
32,276,1
44,276,1
52,291,1
37,282,1
54,282,1
72,273,1
61,288,1
76,281,1
84,297,1
74,298,1
117,289,1
102,285,1
106,300,1
103,280,1
94,290,1
93,294,1
946,264,2
114,295,1
10,297,2
30,297,2
14,284,2
798,256,4
771,265,4
127,291,1
83,297,2
53,282,2
52,294,2
847,256,4
728,246,6
728,251,6
162,290,1
178,290,1
172,296,1
166,279,1
30,272,3
947,263,3
116,278,2
957,259,3
30,299,3
15,283,3
149,277,2
82,299,3
51,293,3
208,282,1
194,286,1
205,288,1
194,276,1
208,275,1
185,291,1
6,280,4
118,277,3
149,275,3
64,284,4
223,296,1
207,282,2
239,284,1
238,279,1
223,291,1
195,285,2
194,294,2
207,275,2
195,276,2
279,294,1
278,289,1
295,284,1
287,283,1
288,295,1
278,283,1
296,287,1
310,290,1
315,278,1
304,287,1
320,297,1
330,289,1
317,288,1
325,272,1
322,285,1
348,291,1
355,291,1
334,284,1
365,295,1
