7,12
14,14
19,19
32,24
39,36
40,34
52,913
72,95
100,136
138,583
143,924
146,111
153,419
155,126
162,132
164,106
168,154
172,121
179,958
232,1024
246,961
252,282
262,538
268,318
272,269
279,437
306,867
308,376
312,210
313,190
315,72
317,679
318,76
323,91
329,198
330,221
332,112
333,127
349,260
353,227
381,76
382,226
428,32
429,337
443,694
446,350
454,857
461,227
504,801
548,472
550,261
563,557
577,473
580,795
581,478
587,329
626,361
627,89
637,365
650,372
684,494
701,445
741,260
749,227
757,153
763,636
803,506
825,512
827,511
876,761
893,905
932,582
950,623
1021,803
1029,850
1033,853
1034,661
1050,866
1067,874
1085,894
1089,883
1107,694
1123,905
1132,698
1145,910
1164,909
1179,222
1200,980
1216,176
1252,980
1258,1017
1267,953
1280,884
1307,164
1308,985
1323,1003
1326,1002
1332,1014
1364,231
1367,285
1419,518
1441,437
